序号,链接,标题,匹配语料
12,https://tass.ru/ekonomika/25926833,ТАСС: выпуск складывающегося втрое Samsung под вопросом из-за низкой прибыли16 декабря 2025,Huawei Mate XT.
13,https://tass.ru/ekonomika/25896875,В Южной Корее за пять минут раскупили партию складывающихся смартфонов Samsung12 декабря 2025,"Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года, но он стоит дороже."
14,https://tass.ru/ekonomika/25787077,Samsung представил свой первый складывающийся втрое смартфон02 декабря 2025,Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года.
15,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Общество Партнерский материал Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI Приобретая смартфон, вы получаете не просто удобный гаджет, но и дополнительный источник тревоги."
16,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"О новых возможностях сервисного обслуживания читайте в материале ТАСС Редакция сайта ТАСС 01 декабря 2025, 12:18 © Пресс-служба HUAWEI Сколько вы знаете времен года?"
17,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"В это время обладатели гаджетов HUAWEI могут воспользоваться целым набором услуг, чтобы со скидкой или даже бесплатно обновить, починить да и просто украсить свои девайсы в авторизованных сервисных центрах (АСЦ)."
18,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Бесплатный ремонт Если с вашим планшетом, телефоном, ноутбуком, наушниками, умными часами или каким-то другим гаджетом HUAWEI что-то случилось, отдайте его в один из авторизованных сервисных центров."
19,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,© Пресс-служба HUAWEI Ориентировочное время диагностики и ремонта — три рабочих дня.
20,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"© Пресс-служба HUAWEI Кстати, девайс не обязательно должен быть неисправен."
21,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,А вот владельцы устройств HUAWEI получают именно такой сервис.
22,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"© Пресс-служба HUAWEI А если у вашего устройства стала подводить батарея, ее можно заменить на новую по специальной цене от 1999 рублей."
23,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,Для надежной защиты устройства клиентам доступна программа HUAWEI Care.
24,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Подводя итог, можно сказать, что для владельцев устройств HUAWEI Новый год наступит на целых два месяца раньше, чем это случится по календарям."
25,https://tass.ru/obschestvo/25724215,"Данные ""Радар. НФ"" были полезны при отражении атаки БПЛА в ночь на 25 ноября25 ноября 2025","Оно доступно для пользователей операционной системы Android в магазине RuStore, а также в AppGallery для устройств Huawei."
26,https://tass.ru/obschestvo/25724267,"Приложение для отслеживания БПЛА ""Радар.НФ"" скачали уже более 2 млн россиян25 ноября 2025","""Радар.НФ"" доступен для пользователей операционной системы Android в магазине RuStore, а также в AppGallery для устройств Huawei."
27,https://tass.ru/ekonomika/25721899,Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица25 ноября 2025,"Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Экономика и бизнес Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица В продвинутой и топовой версиях улучшены возможности фотоувеличения Редакция сайта ТАСС 25 ноября 2025, 09:10 ШАНХАЙ, 25 ноября."
28,https://tass.ru/ekonomika/25721899,Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица25 ноября 2025,Китайская компания Huawei представила флагманскую линейку смартфонов Mate80 с функцией трехмерного распознавания лица.
29,https://tass.ru/ekonomika/25721899,Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица25 ноября 2025,Это позволит пользователям безопасно входить в свою учетную запись Huawei и производить оплату сканированием лица.
30,https://tass.ru/sport/25644799,СтатьяЗдоровье и фитнес-приложение19 ноября 2025,"По итогам исследования самым удобным признано приложение Huawei Health, у которого удобный интерфейс и наглядная информация по всем показателям."
31,https://tass.ru/ekonomika/25646127,SCMP: ЕС и Китай могут договориться об экспорте чипов и редкоземельных металлов17 ноября 2025,Также ЕС планирует ввести ограничения для китайской компании Huawei.
32,https://tass.ru/ekonomika/25613491,CNN: торговая война Трампа с Канадой подталкивает Оттаву к сближению с Пекином13 ноября 2025,"Отношения Оттавы и Пекина резко испортились в 2018 году, когда в Ванкувере была задержана финансовый директор компании Huawei Мэн Ваньчжоу, которой грозила депортация в США по обвинению в мошенничестве и нарушении американских антииранских санкций."
33,https://tass.ru/ekonomika/25608123,Yonhap: Samsung выпустит складывающийся втрое смартфон в декабре12 ноября 2025,Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года.
34,https://tass.ru/ekonomika/25570655,Эксперт Гоненко: подача заявок на регистрацию знака Labubu не является нарушением08 ноября 2025,Гоненко привел в пример гиганта телекоммуникаций Huawei.
35,https://tass.ru/obschestvo/25501925,"Приложение ОНФ для отслеживания БПЛА ""Радар.НФ"" скачали уже почти 2 млн россиян30 октября 2025","""Радар.НФ"" доступен для пользователей операционной системы Android в магазине RuStore, а также в AppGallery для устройств Huawei."
36,https://tass.ru/obschestvo/25474321,Проверено ТАССВесь мир в кармане: пять преимуществ смартфонов HONOR30 октября 2025,Компания HONOR создавалась как одна из дочерних структур китайского технологического гиганта Huawei и долгое время неразрывно ассоциировалась с ним.
37,https://tass.ru/obschestvo/25229303,"В приложении ""Радар. НФ"" появилась информация о порядке действий при ЧС02 октября 2025","Приложение доступно для пользователей операционной системы Android, скачать его можно на площадке RuStore, а также в магазине для экосистем Huawei AppGallery."
38,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Общество Партнерский материал Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра С момента появления смарт-часов на рынке этот тип устройств непрерывно совершенствуется и обрастает новыми функциями и возможностями.
39,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,Речь о HUAWEI WATCH GT 6 Pro.
40,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"Расскажем о свойствах и возможностях новой модели Редакция сайта ТАСС 19 сентября 2025, 13:30 © Архивы Huawei HUAWEI WATCH GT 6 Pro принадлежит к линейке смарт-часов нового поколения, в которую также входят базовые версии HUAWEI WATCH GT 6 46 мм и HUAWEI WATCH GT 6 41 мм."
41,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,В модельном ряду HUAWEI WATCH GT 6 представлено множество дизайнов и цветов под разные запросы и предпочтения пользователей.
42,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,© Архивы Huawei Модель оснащена AMOLED-экраном (экран с органическими светодиодами и активной матрицей — прим.
43,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"ТАСС), площадь которого выросла на 5,5% в сравнении с предыдущим поколением HUAWEI WATCH GT."
44,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"© Архивы Huawei В целом линейка выполнена в стиле спорт-шик, что делает устройства оптимальным аксессуаром для пользователей, ведущих активный образ жизни."
45,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"Не ищите адаптер Одним из наиболее выигрышных свойств HUAWEI WATCH GT 6 Pro является очень мощная многослойная батарея с оптимизированным алгоритмом, емкость которой, по сравнению с предыдущим поколением, увеличилась на 65%."
46,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"Идеально для велоспорта HUAWEI WATCH GT 6 Pro и линейка устройств, к которой они принадлежат, первыми среди смарт-часов получили инновационную функцию измерения виртуальной мощности велотренировки — этот показатель рассчитывается на основе скорости передвижения в реальном времени, уклона, веса велосипедиста и велосипеда."
47,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"© Архивы Huawei Для активации этой функции нужно выбрать на часах режим ""Велосипед"", указать информацию об этом средстве передвижения, а также свой вес и возраст, после чего включить режим тренировки."
48,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"При этом после сопряжения устройства с телефоном при помощи приложения ""Huawei Health"" часы будут подключаться к телефону при запуске велотренировки."
49,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,© Архивы Huawei Также на HUAWEI WATCH GT 6 Pro можно передавать популярные веломаршруты из сторонних приложений для навигации при поездках.
50,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"Для этого достаточно экспортировать маршруты из этих приложений на телефон, а затем добавить их в приложение ""Huawei Health""."
51,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,© Архивы Huawei Свой режим в системе HUAWEI WATCH GT 6 Pro найдут даже любители гольфа.
52,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"С заботой о здоровье Смарт-часы серии HUAWEI WATCH GT 6 оснащены обновленной системой TruSense, которая проводит мониторинг эмоций пользователя в режиме реального времени и распознает 12 типов эмоционального состояния."
53,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"© Архивы Huawei Без паники HUAWEI WATCH GT 6 Pro также оснащены функцией определения падения, работающей на основе интеграции нескольких датчиков и позволяющей распознавать подобные происшествия с точностью до 90%."
54,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"© Архивы Huawei Интеграция с Ozon С помощью часов новой линейки проще взаимодействовать с маркетплейсом Ozon: пользователь может открыть штрихкод заказанного товара на самом устройстве, предъявить его сотруднику на пункте выдачи и получить свой заказ*."
55,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,HUAWEI WATCH GT 6 Pro автоматически синхронизируют и обновляют штрихкод при подключении к смартфону.
56,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"Также на часах доступны и те приложения российских разработчиков, которые ранее были на HUAWEI WATCH GT 5: ""2ГИС Уведомления"" и ""Счетчик калорий СИТ30 — Watch""."
57,https://tass.ru/obschestvo/25098591,3Смарт-часы HUAWEI WATCH GT 6 Pro: энергия ветра19 сентября 2025,"* В ближайшее время приложения Ozon и ""Звук"" будут доступны на умных часах HUAWEI WATCH GT 6."
58,https://tass.ru/mezhdunarodnaya-panorama/25082971,"В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании17 сентября 2025","В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная В мире В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании По словам зампредседателя Еврокомиссии Хенны Вирккунен, соглашение с Huawei может потенциально создать зависимость от китайского поставщика ""в критически важной и уязвимой сфере"" Редакция сайта ТАСС 17 сентября 2025, 11:52 БРЮССЕЛЬ, 17 сентября."
59,https://tass.ru/mezhdunarodnaya-panorama/25082971,"В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании17 сентября 2025","Зампредседателя Еврокомиссии, еврокомиссар по технологическому суверенитету, безопасности и демократии Хенна Вирккунен утверждает, что контракт между МВД Испании и китайской компанией Huawei на хранение записей прослушки, сделанной силами безопасности в ходе расследований, ""может привести к иностранному вмешательству""."
60,https://tass.ru/mezhdunarodnaya-panorama/25082971,"В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании17 сентября 2025","По словам Вирккунен, соглашение с Huawei может потенциально создать зависимость от китайского поставщика ""в критически важной и уязвимой сфере""."
61,https://tass.ru/mezhdunarodnaya-panorama/25082971,"В ЕК сообщили о риске ""иностранного вмешательства"" из-за контракта Испании17 сентября 2025","В июле Huawei получила контракт от МВД Испании на 12,3 млн евро."
62,https://tass.ru/mezhdunarodnaya-panorama/25001349,Reuters: в США начали отзывать лицензии у центров тестирования электроники КНР09 сентября 2025,"14 мая газета Financial Times (FT) со ссылкой на источники сообщила, что американская администрация порекомендовала компаниям по всему миру отказаться от использования чипов искусственного интеллекта (ИИ) китайского производителя Huawei."
63,https://tass.ru/novosti-regionov/24997425,"В Южном федеральном университете прошёл масштабный фестиваль ""Войти в IT""08 сентября 2025","Партнёрами проекта ""Войти в IT"" в этом году выступили банк ""Центр-инвест"", МТС, Huawei, Т-Банк, НКБ ВС, ВК, Азовский оптико-механический завод, НПО Грань, Нейротех, Оджетто, Иностудио, Мойсклад, Спецвузавтоматика, Евраз, ИТ-премиум, Проектный офис ИКТИБ, СКБ ""КИТ"", Школа::Кода, Целевая поисковая лаборатория ""Перспективные технологии беспилотных автоматизированных систем""."
64,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Стильный акцент в повседневной жизни — HUAWEI Pura 80 ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Общество Партнерский материал Стильный акцент в повседневной жизни — HUAWEI Pura 80 Практически каждые пять минут человек использует смартфон — то есть 140 раз за день.
65,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Среди новинок привлекает внимание своим дизайном и функциональностью HUAWEI Pura 80 (0+) Редакция сайта ТАСС 02 сентября 2025, 08:00 © Rozetked Дизайн без равнодушия Внешний вид HUAWEI Pura 80 (Хуавей Пура 80 — прим."
66,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"© Пресс-служба HUAWEI Габариты смартфона — 157,7 х 74,4 мм при толщине всего 8,2 мм и весе около 211 г — делают его довольно компактным для удобного использования даже одной рукой (в том числе женской)."
67,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"В целом HUAWEI Pura 80 оставляет впечатление гармоничного сочетания формы, текстуры и цвета."
68,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Съемка как искусство Одной из главных фишек HUAWEI Pura 80 можно назвать его камеру.
69,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"В HUAWEI Pura 80 поддерживается 1,5 млн спектральных каналов — такое ранее было только во флагманских, дорогих моделях."
70,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Регулируемая диафрагма HUAWEI Pura 80 (от f/1.4 до f/4.0) отлично передает глубину и атмосферу как групповых снимков, так и при портретной съемке — с особым вниманием к деталям."
71,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,© Пресс-служба HUAWEI Также есть 13-мегапиксельный ультраширокоугольный объектив с диафрагмой f/2.2.
72,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Сочетает все эти аппаратные возможности камеры с искусственным интеллектом в HUAWEI Pura 80 технология обработки изображений XD Fusion (Икс-Ди Фьюжн — прим.
73,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Это и есть ультрареалистичная съемка смартфона HUAWEI Pura 80.
74,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Например, впервые в серии в HUAWEI Pura 80 реализован быстрый поиск по изображению — смартфон использует нейросети ""Яндекса"", чтобы распознать объект и далее загрузить его для поиска в интернете."
75,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Искусственный интеллект HUAWEI Pura 80 готов добавить и игривую нотку в повседневность — с функцией ""Эмодзи"" при встряхивании устройства меняются забавные смайлики на экране."
76,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Мощь для реализации Операционная система HUAWEI Pura 80 EMUI 15.0 — на базе Android-аналога Huawei Mobile Services (Хуавей Мобайл Сервисез — прим.
77,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Экран с технологией HUAWEI X-True Display™ (Хуавей Икс-Тру Дисплей — прим.
78,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,Звук тоже не остался без внимания: два динамика с увеличенной амплитудой создают объемное стереозвучание благодаря технологии HUAWEI Histen (Хуавей Хистен — прим.
79,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Что касается энергетической подпитки, то в HUAWEI Pura 80 стоит батарея мощностью 5170 мАч — целый день (а то и больше) можно обходиться без зарядки."
80,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,"Гаджет поддерживает быструю зарядку HUAWEI SuperCharge в 66 Вт по проводу — хватает всего около 20 минут, чтобы получить 50%, — и 50 Вт по беспроводному способу."
81,https://tass.ru/obschestvo/24925271,3Стильный акцент в повседневной жизни — HUAWEI Pura 8002 сентября 2025,HUAWEI Pura 80 вполне способен стать стилевым акцентом в повседневной жизни.
82,https://tass.ru/ekonomika/24931403,1В РФ начали продавать iPhone с пометкой о недостатке из-за отсутствия RuStore02 сентября 2025,"Еще один источник уточнил, что работать в соответствии с новым законом планируют китайские производители Xiaomi, Honor, Huawei, Tecno и Infinix."
83,https://tass.ru/ekonomika/24918825,Max вошел в список для обязательной предустановки на устройства в России01 сентября 2025,"Max вошел в список для обязательной предустановки на устройства в России ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Экономика и бизнес Max вошел в список для обязательной предустановки на устройства в России С требованием согласился Samsung, а Xiaomi, Honor, Huawei, Tecno и Infinix пообещали ""очень постараться, чтобы все сделать"" Редакция сайта ТАСС 31 августа 2025, 21:25 МОСКВА, 1 сентября."
84,https://tass.ru/ekonomika/24918825,Max вошел в список для обязательной предустановки на устройства в России01 сентября 2025,"Как говорили ранее источники ТАСС на рынке электроники, с этим требованием согласился южнокорейский бренд Samsung, китайские же - Xiaomi, Honor, Huawei, Tecno, Infinix - обещали ""очень постараться, чтобы все сделать""."
85,https://tass.ru/ekonomika/24918825,Max вошел в список для обязательной предустановки на устройства в России01 сентября 2025,"Кабмин добавлял, что в настоящее время маркет предустанавливают на технику с базовым Android и HarmonyOS - операционкой от Huawei."
86,https://tass.ru/ekonomika/24885467,FT: Китай стремится увеличить втрое производство процессоров для ИИ за год27 августа 2025,"По ее данным, Китай, в частности, хочет открыть три новых завода для производства процессоров для компании Huawei."
87,https://tass.ru/ekonomika/24870615,ТАСС: производители смартфонов прорабатывают предустановку на них Max в РФ26 августа 2025,"Среди китайских производителей с такой позицией он назвал Xiaomi, Honor, Huawei, Tecno и Infinix."
88,https://tass.ru/ekonomika/24777743,FT: DeepSeek отложил выпуск новой модели из-за проблем с чипами Huawei14 августа 2025,"FT: DeepSeek отложил выпуск новой модели из-за проблем с чипами Huawei ТАСС Медиа > 65 млн фото и видео Военная операция на Украине Ситуация вокруг Гренландии Столкновение поездов в Испании Сюжеты ТАСС Медиа Пресс-центр Видео Все материалы Экономика Происшествия Политика Общество Спорт В мире В стране Нацпроекты Недвижимость Малый бизнес Армия и ОПК Культура Наука Космос Госсовет Новости партнеров Пресс-релизы Биографии и справки Москва Московская область Северо-Запад Большой Урал Сибирь Арктика Главная Экономика и бизнес FT: DeepSeek отложил выпуск новой модели из-за проблем с чипами Huawei По данным газеты, несмотря на возникшие трудности, модель R2 может быть выпущена в ближайшие недели Редакция сайта ТАСС 14 августа 2025, 06:34 © Егор Алеев/ ТАСС ЛОНДОН, 14 августа."
