序号,来源URL,语句内容,关键词
18,https://www.kommersant.ru/doc/4986911,"Сейчас для Apple складывается очень выгодная ситуация, так как их главный конкурент — Huawei — частично исчез с рынка»",Huawei
19,https://www.kommersant.ru/doc/4907650,"Александр Зубарев, директор по информационной безопасности Huawei в России: Центр прозрачности Huawei — значимый элемент в укреплении доверия – Новости компаний









































































































































 


Реклама в «Ъ» www",Huawei
20,https://www.kommersant.ru/doc/4907650,"2021, 18:53





                Александр Зубарев, директор по информационной безопасности Huawei в России: Центр прозрачности Huawei — значимый элемент в укреплении доверия
            



В июне 2021 года в г",Huawei
21,https://www.kommersant.ru/doc/4907650,Дунгуань (КНР) был официально открыт крупнейший Центр прозрачности по кибербезопасности и защите конфиденциальности компании Huawei,Huawei
22,https://www.kommersant.ru/doc/4907650,Это уже седьмой Центр прозрачности Huawei в мире,Huawei
23,https://www.kommersant.ru/doc/4907650,"Выйти из полноэкранного режима








Развернуть на весь экран













Александр Зубарев, директор по информационной безопасности Huawei в России КТН, СНСФото: пресс-служба Huawei в России КТН, СНС








Александр Зубарев, директор по информационной безопасности Huawei в России КТН, СНСФото: пресс-служба Huawei в России КТН, СНС




Пока мы углубляем цифровизацию по всему миру, кибербезопасность становится все более важным аспектом развития экономики и ИКТ, чем когда-либо прежде, особенно в условиях коронавирусных ограничений и развития удаленной работы",Huawei
24,https://www.kommersant.ru/doc/4907650,Действующий председатель сдиректоров Huawei Кен Ху в своем приветствии подчеркнул: «В Huawei кибербезопасность является главным приоритетом,Huawei
25,https://www.kommersant.ru/doc/4907650,Именно для этого и создан новый Центр прозрачности по кибербезопасности и защите конфиденциальности компании Huawei,Huawei
26,https://www.kommersant.ru/doc/4907650,"Huawei дает клиентам и правительствам возможность прийти и проверить продукцию компании, получить доступ к исходным кодам, привлечь их собственных специалистов и специалистов третьих сторон, использовать инструментарий Huawei или свои инструменты",Huawei
27,https://www.kommersant.ru/doc/4907650,Это Huawei называет «многочисленными глазами и руками» для проверки и контроля,Huawei
28,https://www.kommersant.ru/doc/4907650,"Huawei показывает всем, что может это делать открыто и эффективно",Huawei
29,https://www.kommersant.ru/doc/4907650,"Главная цель Huawei — решить проблемы, которые стоят перед заказчиками в области ИКТ, кибербезопасности, защиты конфиденциальности, и продолжать поддерживать клиентов компании в режиме 24х7",Huawei
30,https://www.kommersant.ru/doc/4907650,"Однако фокусом этой деятельности является укрепление доверия к компании Huawei, к ее решениям, продуктам и сервисам со стороны заказчиков, регуляторов и ИКТ-индустрии",Huawei
31,https://www.kommersant.ru/doc/4907650,Его основные компоненты были раскрыты автором в статье: «Доверие и качество: основной приоритет Huawei в России»,Huawei
32,https://www.kommersant.ru/doc/4907650,Huawei следует этому принципу на протяжении последних 10 лет,Huawei
33,https://www.kommersant.ru/doc/4907650,"Директор глобального отдела кибербезопасности и защиты данных Huawei Шон Ян в своем выступлении при открытии центра раскрыл основные требования по внедрению и контролю разработанного в Huawei базового уровня общих требований к безопасности продуктов Huawei, ко всему процессу их разработки, а также ко всей цепочке поставок компонентов",Huawei
34,https://www.kommersant.ru/doc/4907650,"Он отметил: «Huawei разработала этот базовый уровень на основе общих и критичных требований в области кибербезопасности, выявленных в ходе изучения законов и правил в различных странах, а также глубокого понимания правовых и нормативных требований, бизнес-требований клиентов, передовой практики ИКТ-отрасли, известных проблем и многого другого»",Huawei
35,https://www.kommersant.ru/doc/4907650,"Эта система требований схожа с уровнями и профилями защиты, введенными в действие ФСТЭК России, которые Huawei строго выполняет при проведении оценки соответствия и сертификации по требованиям безопасности продукции Huawei в России",Huawei
36,https://www.kommersant.ru/doc/4907650,"Huawei будет ее использовать, чтобы двигаться вперед по пути создания инфраструктуры безопасности и конфиденциальности, что будет способствовать реализации стратегии безопасности, стимулировать международное сотрудничество, практику и коммуникации, необходимые для сохранения экосистемы кибербезопасности, способствовать развитию государственного и частного партнерства в интересах безопасного цифрового будущего",Huawei
37,https://www.kommersant.ru/doc/4907650,В последнее время эксперты некоторых стран поднимают вопрос о предоставлении исходного кода программного обеспечения продукции Huawei,Huawei
38,https://www.kommersant.ru/doc/4907650,"Джон Саффолк, глобальный директор по кибербезопасности и защите конфиденциальности Huawei, в своем заключительном выступлении отметил: «Многие тысячи компаний и многие правительства, которые протестировали и оценили продукты Huawei, находят некоторые уязвимости, но они никогда не нашли никаких реальных проблем",Huawei
39,https://www.kommersant.ru/doc/4907650,"Любой клиент Huawei должен убедиться, что наши продукция и решения проходят непрерывную оценку их качества и безопасности»",Huawei
40,https://www.kommersant.ru/doc/4907650,"Именно такую работу проводит Huawei и в Российской Федерации, чтобы достойно занимать место одного из ведущих лидеров в области ИКТ и надежного партнера",Huawei
41,https://www.kommersant.ru/doc/4907650,"Александр Зубарев, директор по информационной безопасности Huawei в России КТН, СНС


































                Новости компаний
                Все



04",Huawei
42,https://www.kommersant.ru/doc/4937346,"Смартфон Huawei Nova 8 появился в России – Коммерсантъ







































































































































 


Реклама в «Ъ» www",Huawei
43,https://www.kommersant.ru/doc/4937346,"2021, 17:58





                Смартфон Huawei Nova 8 появился в России
            



Компания Huawei объявила о выходе нового смартфона Nova 8 на российский рынок",Huawei
44,https://www.kommersant.ru/doc/4937346,"Выйти из полноэкранного режима








Развернуть на весь экран













Фото: Huawei








Фото: Huawei




Версия для России получила чип Kirin 820E и графику Mali-G57, которые сочетаются с 8 Гб оперативной и 128 Гб встроенной памяти, а также аккумулятором на 3800 мА•ч с поддержкой быстрой зарядки SuperCharge мощностью до 66 Вт",Huawei
45,https://www.kommersant.ru/doc/4937346,В России Huawei Nova 8 будет стоить 40 тыс,Huawei
46,https://www.kommersant.ru/doc/5141957,"ru, по телефону 8-800-222-0-555, а также в мобильном приложении компании, которое доступно не только действующим клиентам компании, но и любому пользователю смартфона с App Store, Google Play и Huawei AppGallery",Huawei
47,https://www.kommersant.ru/doc/5005701,"СМИ: финдиректору Huawei разрешат вернуться в Китай в рамках соглашения с Минюстом США – Коммерсантъ







































































































































 


Реклама в «Ъ» www",Huawei
48,https://www.kommersant.ru/doc/5005701,"2021, 20:30





                СМИ: финдиректору Huawei разрешат вернуться в Китай в рамках соглашения с Минюстом США
            



Министерство юстиции США достигло соглашения с представителями Huawei Technologies, в рамках которого финансовому директору компании Мэн Ваньчжоу, арестованной в 2018 году в Канаде, разрешат вернуться в Китай, сообщают Reuters и The Wall Street Journal (WSJ) со ссылкой на осведомленные источники",Huawei
49,https://www.kommersant.ru/doc/5005701,"Напомним, что госпожа Мэн, финансовый директор Huawei Technologies и дочь основателя этой компании, была задержана в аэропорту Ванкувера в декабре 2018 года по запросу США",Huawei
50,https://www.kommersant.ru/doc/5005701,"Ей были предъявлены обвинения в нарушении американских санкций против Ирана: она якобы ввела в заблуждение банк HSBC, не сообщив ему о деловых операциях Huawei в Иране",Huawei
51,https://www.kommersant.ru/doc/5007353,"На конференции Huawei «Цифровое сообщество 2021» обсудят ключевые тренды цифровизации и развитие ИКТ-сферы Евразии – Новости компаний








































































































































 


Реклама в «Ъ» www",Huawei
52,https://www.kommersant.ru/doc/5007353,"2021, 16:37





                На конференции Huawei «Цифровое сообщество 2021» обсудят ключевые тренды цифровизации и развитие ИКТ-сферы Евразии
            



26 и 27 октября компания Huawei проведет вторую ежегодную конференцию «Цифровое сообщество 2021» (Huawei Digital Community Conference 2021, HDCC 2021)",Huawei
53,https://www.kommersant.ru/doc/5007353,"Продолжая традиции прошлого года, на предстоящей конференции Huawei поделится успехами и планами дальнейшего развития «Сообщества единого цифрового будущего»",Huawei
54,https://www.kommersant.ru/doc/5007353,В рамках одноименной стратегии Huawei компания участвует в процессе выстраивания в России безопасной и независимой отраслевой экосистемы,Huawei
55,https://www.kommersant.ru/doc/5007353,"Выйти из полноэкранного режима








Развернуть на весь экран





















Фото: Huawei








Фото: Huawei




«Участие в конференции HDCC 2021 — это еще одна возможность ознакомиться с трендами развития информационно-коммуникационных технологий как в мире, так и в России, а также узнать о последних достижениях в цифровой энергетике, облачных технологиях и мобильных экосистемах,— отмечает Дэниел Чжоу, президент Huawei в Евразии",Huawei
56,https://www.kommersant.ru/doc/5007353,"Huawei верит в то, что объединение усилий поможет преодолеть все вызовы и найти новые возможности для процветания ИКТ-сферы Евразии»",Huawei
57,https://www.kommersant.ru/doc/5007353,"В программу конференции Huawei «Цифровое сообщество 2021» включены выступления руководства компании, представителей российского бизнеса и членов правительства",Huawei
58,https://www.kommersant.ru/doc/5007353,"На мероприятии будет организовано 6 тематических форумов для обсуждения отдельных аспектов ИКТ-индустрии: «Экосистема облачных технологий», «Локализация: Опыт ИКТ-индустрии», «Максимальный пользовательский опыт 2021», «Huawei Developer Day», «Цифровая энергетика Евразии» и «ИКТ-сервисы в Евразии»",Huawei
59,https://www.kommersant.ru/doc/5007353,"Зрители смогут ознакомиться с успешными кейсами клиентов и партнеров Huawei, продуктами и решениями компании для цифровизации промышленности и пообщаться с экспертами Huawei в режиме реального времени",Huawei
60,https://www.kommersant.ru/doc/4640825,"Лидерство в числе проданных планшетов удерживают Huawei, Samsung и Apple",Huawei
61,https://www.kommersant.ru/doc/5018635,"В России доступно более 20 моделей смартфонов Apple, Samsung и Huawei и около десяти планшетов Apple с поддержкой eSIM",Huawei
62,https://www.kommersant.ru/doc/4996028,"На секции «Экосистема финтех» выступят представители Банка России, Ассоциации Финтех, рейтингового агентства «Эксперт РА», компаний Huawei, «Нейротренд», КПМГ в СНГ, Ак Барс Банка и другие",Huawei
63,https://www.kommersant.ru/doc/4790317,"Президент операторского подразделения Huawei в Евразии Чжао Лэй: модель GUIDE поможет российским операторам связи улучшить сеть к 2025 году – Новости компаний









































































































































 


Реклама в «Ъ» www",Huawei
64,https://www.kommersant.ru/doc/4790317,"2021, 18:23





                Президент операторского подразделения Huawei в Евразии Чжао Лэй: модель GUIDE поможет российским операторам связи улучшить сеть к 2025 году
            



На Ежегодном международном форуме операторов связи «Телеком» 2021 делового издания «Ведомости» компания Huawei представила модель GUIDE, которая создана с целью помочь улучшить операторские сети к 2025 году",Huawei
65,https://www.kommersant.ru/doc/4790317,"Чжао Лэй, президент операторского подразделения Huawei в регионе Евразия, отметил, что 2020 год стал годом быстрого развития 5G услуг для бизнеса — 5GtoB",Huawei
66,https://www.kommersant.ru/doc/4790317,Huawei разработала приложения для сценариев 5GtoB более чем в 20 отраслях и подписала более 1 тыс,Huawei
67,https://www.kommersant.ru/doc/4790317,"Выйти из полноэкранного режима








Развернуть на весь экран













Чжао Лэй, президент операторского подразделения Huawei в Евразии на «Телеком» 2021Фото: Артем Сучков, фото из архива «Ведомости",Huawei
68,https://www.kommersant.ru/doc/4790317,"Конференции», «Ведомости»








Чжао Лэй, президент операторского подразделения Huawei в Евразии на «Телеком» 2021Фото: Артем Сучков, фото из архива «Ведомости",Huawei
69,https://www.kommersant.ru/doc/4790317,"В рамках мероприятия на своем стенде Huawei представила модель GUIDE, определяющую типовые характеристики сети операторов связи к 2025 году",Huawei
70,https://www.kommersant.ru/doc/4790317,"Выйти из полноэкранного режима








Развернуть на весь экран













Ван Хуасинь, директор видеобизнеса и развития экосистем Huawei в регионе Евразия, на «Телеком» 2021Фото: Артем Сучков, фото из архива «Ведомости",Huawei
71,https://www.kommersant.ru/doc/4790317,"Конференции», «Ведомости»








Ван Хуасинь, директор видеобизнеса и развития экосистем Huawei в регионе Евразия, на «Телеком» 2021Фото: Артем Сучков, фото из архива «Ведомости",Huawei
72,https://www.kommersant.ru/doc/4790317,"Конференции», «Ведомости»




«Huawei совместно с IDC выпустили технический документ ”NetX 2025: путь к сетям будущего” и готовы поделиться им с отраслью",Huawei
73,https://www.kommersant.ru/doc/4790317,"Ван Хуасинь, директор видеобизнеса и развития экосистем Huawei в регионе Евразия, в рамках кросс-индустриальной сессии вместе с операторами связи обсудил актуальную тему создания экосистем: «Экосистема помогает оператору принести больше ценности для клиента",Huawei
74,https://www.kommersant.ru/doc/4922667,"Huawei представила флагманские смартфоны P50 и P50 Pro – Коммерсантъ







































































































































 


Реклама в «Ъ» www",Huawei
75,https://www.kommersant.ru/doc/4922667,"2021, 12:17





                Huawei представила флагманские смартфоны P50 и P50 Pro
            



Компания Huawei представила два новых смартфона — P50 и P50 Pro, которые стали первыми устройствами компании, сразу же получившими фирменную операционную систему HarmonyOS 2",Huawei
76,https://www.kommersant.ru/doc/4922667,"Выйти из полноэкранного режима








Развернуть на весь экран













Фото: HUAWEI








Фото: HUAWEI




Оба устройства получили процессоры Kirin 9000 и Snapdragon 888 4G, причем для P50 доступен только Kirin 9000, тогда как P50 Pro выйдет на рынок в версиях с двумя чипами",Huawei
77,https://www.kommersant.ru/doc/4922667,"Новинка оснащается батареей на 4360 мА·ч, причем оба смартфона Huawei могут работать с проводной зарядкой мощностью 66 Вт и беспроводной мощностью 50 Вт",Huawei
78,https://www.kommersant.ru/doc/4922667,"Huawei P50 имеет фронтальный 13 Мп модуль, а основной блок состоит из трех модулей — главного на 50 Мп, сверхширокоугольного 13 Мп и 12 Мп телеобъектива с 5-кратным оптическим зумом",Huawei
79,https://www.kommersant.ru/doc/4922667,"Huawei P50 Pro, имея такую же фронтальную камеру, оснащается четырьмя модулями основного блока — основным 50 Мп, телеобъективом 64 Мп с 3,5-кратным оптическим зумом, сверхширокоугольным 13 Мп и монохромным модулем 40 Мп",Huawei
80,https://www.kommersant.ru/doc/4922667,В продаже смартфоны Huawei появятся в середине августа в Китае,Huawei
81,https://www.kommersant.ru/doc/4683621,Huawei может расширить присутствие на рынке игровых гаджетов,Huawei
82,https://www.kommersant.ru/doc/5018422,"Huawei представила в России смартфон Nova 8i – Коммерсантъ







































































































































 


Реклама в «Ъ» www",Huawei
83,https://www.kommersant.ru/doc/5018422,"2021, 14:54





                Huawei представила в России смартфон Nova 8i
            



Компания Huawei объявила о выходе нового смартфона Nova 8i на российский рынок",Huawei
84,https://www.kommersant.ru/doc/5018422,"Смартфон получил фирменный магазин приложений Huawei AppGallery, а в описании новинки значится графическая оболочка EMUI 11 для операционной системы Android 10",Huawei
85,https://www.kommersant.ru/doc/5018422,В России Huawei Nova 8i будет стоить 27 тыс,Huawei
86,https://www.kommersant.ru/doc/5018422,"Выйти из полноэкранного режима








Развернуть на весь экран













Смартфон Huawei Nova 8iФото: Huawei








Смартфон Huawei Nova 8iФото: Huawei




Версия для России получила чип Snapdragon 662 от Qualcomm и графику Adreno 610, которые сочетаются с 6 Гб оперативной и 128 Гб встроенной памяти, а также аккумулятором на 4300 мА•ч с поддержкой быстрой зарядки SuperCharge мощностью до 66 Вт",Huawei
87,https://www.kommersant.ru/doc/4948658,"Российским операторам связи придется закупать российское оборудование для 4G уже с 2023 года, но сейчас их сети работают на решениях ZTE, Nokia, Huawei и Ericsson",Huawei
88,https://www.kommersant.ru/doc/4948658,на оборудование 5G-ready китайской Huawei,Huawei
89,https://www.kommersant.ru/doc/4948658,"В июле «МегаФон» сообщил, что планирует развивать свои сети в партнерстве с Huawei, Nokia и ZTE",Huawei
90,https://www.kommersant.ru/doc/4800672,"На сегодняшний день Samsung, Huawei и Xiaomi анонсировали модели со складными экранами, но их цена по-прежнему может быть достаточно высокой для большинства потребителей, отмечает CNBC",Huawei
91,https://www.kommersant.ru/doc/4986000,"Одна из ключевых модификаций Android — HarmonyOS, разработанная находящейся под санкциями США китайской компанией Huawei",Huawei
92,https://www.kommersant.ru/doc/4889024,"2021, 15:04





                «Для быстрого перехода к 5G в России требуется модернизации инфраструктуры сети»
            

                Заявили эксперты на форуме Huawei
            



В рамках Форума операторов и поставщиков решений инфраструктуры мобильной связи Евразии-2021 представители ДИТ Москвы, ассоциации GSM, независимых операторов инфраструктуры связи, эксперты Huawei и аналитики обсудили инициативы по преодолению барьеров, которые могут возникнуть на этапе коммерческого развертывания 5G в ближайшие пять лет",Huawei
93,https://www.kommersant.ru/doc/4889024,"За полтора года коммерциализации построено уже более 110 сетей 5G, а число пользователей достигло более 200 млн,— рассказал президент бизнес-группы по работе с операторами Huawei в Евразии Чжао Лэй на форуме",Huawei
94,https://www.kommersant.ru/doc/4889024,"Одним из критериев успешной эволюции мобильных сетей к 2025 году является концепция ультраупрощенного сайта, считает ведущий эксперт по беспроводным технологиям Huawei Дмитрий Конарев",Huawei
95,https://www.kommersant.ru/doc/4889024,"Для решения проблемы покрытия мобильных сетей в микрорайонах с закрытыми дворами (дворами-колодцами) крупных российских городов компания Huawei разработала решение Lighting Site, которое представил Константин Коловский, эксперт по беспроводным технологиям Huawei",Huawei
96,https://www.kommersant.ru/doc/4889024,"Для таких сценариев компания Huawei разработала компактное решение базовой станции, которое требует всего одной антенны и одного радиомодуля для обеспечения кругового трехсекторного покрытия с надежной связью, в том числе на верхних этажах домов",Huawei
97,https://www.kommersant.ru/doc/4889024,"Существующие сайты должны быть в состоянии легко принять оборудование для 5G, чтобы обеспечить быстрое внедрение новой технологии, отметил Дмитрий Полпуденко, ведущий эксперт по беспроводным технологиям Huawei",Huawei
98,https://www.kommersant.ru/doc/4889024,"Он рассказал об инновационных разработках компании, которые позволят заменить старые антенны более компактными с той же производительностью: «Новый модуль Blade AAU Pro от Huawei, многодиапазонные антенны высотой от 1,5 до 2,6 м на платформах London Pro, ACSR и Munich Pro позволяют легко и быстро развертывать 5G, сократить количество антенн на площадках базовых станций и снизить TCO сайта»",Huawei
99,https://www.kommersant.ru/doc/4889024,"Увеличить эффективность инженерных работ на сайте и снизить операционные риски позволяет решение «цифровой двойник сайта», которое представил в рамках форума старший консультант департамента консалтинга и системной интеграции Huawei Юрий Черновский: «Huawei занимается оцифровкой инфраструктуры базовых станций (БС) с целью отображения сайтов в цифровом пространстве — это и есть цифровой двойник сайта",Huawei
100,https://www.kommersant.ru/doc/4692546,На развитие сервиса также повлияло партнерство с Huawei,Huawei
101,https://www.kommersant.ru/doc/4839924,Среди них — одна из крупнейших мировых компаний в сфере телекоммуникаций Huawei,Huawei
102,https://www.kommersant.ru/doc/4839924,"Ранее аналитический центр CSIS сообщил, что с 2006 года Huawei заключила 70 сделок в десятках стран Африки, Азии и Латинской Америки по созданию облачной инфраструктуры и электронных систем государственных услуг",Huawei
103,https://www.kommersant.ru/doc/4839924,"По мнению аналитиков, эти данные свидетельствуют о том, что, несмотря на попытки США разубедить государства иметь дело с этой китайской компанией, Huawei активно расширяется в развивающихся странах",Huawei
104,https://www.kommersant.ru/doc/4839924,Huawei из-за ранее введенных санкций США в 2019 году ускорила разработку собственной операционной системы,Huawei
105,https://www.kommersant.ru/doc/4839924,Подробнее о новых продуктах компании — в материале “Ъ” «Huawei обрел гармонию»,Huawei
106,https://www.kommersant.ru/doc/4672306,"Генеральный партнер «Инфофорума-2021» компания Huawei проведет собственную конференцию по вопросам развития цифрового будущего в России – Новости компаний







































































































































 


Реклама в «Ъ» www",Huawei
107,https://www.kommersant.ru/doc/4672306,"2021, 15:45





                Генеральный партнер «Инфофорума-2021» компания Huawei проведет собственную конференцию по вопросам развития цифрового будущего в России
            



Компания Huawei примет участие в 23-м Большом Национальном форуме информационной безопасности «Инфофорум-2021» в качестве генерального партнера",Huawei
108,https://www.kommersant.ru/doc/4672306,Перед началом пленарной сессии с приветственным обращением выступит Директор по информационной безопасности Huawei в России Александр Зубарев,Huawei
109,https://www.kommersant.ru/doc/4672306,Также в первый день форума будет проведена экспертная конференция компании Huawei «Новейшие ИКТ-технологии: Безопасное цифровое будущее уже сегодня — во взаимодействии и сотрудничестве»,Huawei
110,https://www.kommersant.ru/doc/4672306,"Генеральный директор компании Huawei в Евразии Эйден У прокомментировал участие Huawei в форуме: «Компания Huawei уделяет особое внимание вопросам кибербезопасности, защиты персональных данных и конфиденциальности клиентов на пути построения единого цифрового будущего",Huawei
111,https://www.kommersant.ru/doc/4672306,В рамках собственной конференции Huawei будут представлены ключевые доклады по вопросам сетевой безопасности и технологий 5G как нового уровня цифровизации,Huawei
112,https://www.kommersant.ru/doc/4672306,"В мероприятии примут участие следующие спикеры:
Конарев Дмитрий Павлович, ведущий эксперт беспроводных технологий Huawei в России: «Прогресс в развитии 5G и кибербезопасности»",Huawei
113,https://www.kommersant.ru/doc/4672306,"Пярн Артур Владимирович, директор по облачным решениям Huawei в России: «Современные вызовы и угрозы информационной безопасности публичных облачных решений и способы работы с ними»",Huawei
114,https://www.kommersant.ru/doc/4672306,"Жуланов Илья Михайлович, ведущий инженер ООО «Техкомпания “Хуавэй”»: «О безопасной разработке продуктов Huawei»",Huawei
115,https://www.kommersant.ru/doc/4672306,"Солодун Никита Анатольевич, эксперт по интеллектуальным вычислительным системам Huawei: «Стратегия в сфере Искусственного Интеллекта»",Huawei
116,https://www.kommersant.ru/doc/5139055,"Huawei готовит «умные» очки – Коммерсантъ






































































































































 


Реклама в «Ъ» www",Huawei
117,https://www.kommersant.ru/doc/5139055,"2021, 13:59





                Huawei готовит «умные» очки
            



Компания Huawei анонсировала «умные» очки собственной разработки, которые представит 23 декабря 2021 года",Huawei
118,https://www.kommersant.ru/doc/5139055,"Премьера Huawei Smart Glasses, работающих на операционной системе HarmonyOS, запланирована на 23 декабря — в ходе мероприятия раскроют подробности об аксессуаре",Huawei
119,https://www.kommersant.ru/doc/4867796,"По мнению экспертов, Xiaomi удалось укрепиться также за счет ослабления Huawei и Honor",Huawei
