序号,链接,标题,匹配语料
31,https://tass.ru/mezhdunarodnaya-panorama/7507519,FT: США планируют отказаться от использования китайских дронов13 января 2020,"В августе прошлого года Трамп подписал указ, который запретил правительственным ведомствам США использовать оборудование, произведенное Huawei и еще одной китайской компанией ZTE."
32,https://tass.ru/ekonomika/7506263,Средний чек купленного в России смартфона в 2019 году достиг почти 17 тыс. рублей13 января 2020,"рублей, в пятерку самых популярных брендов вошли Samsung, Apple, Huawei, Honor и Oppo."
33,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,Huawei была основана в 1987 году.
34,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,"По сведениям местных СМИ, в понедельник в Лондоне американская правительственная делегация должна провести переговоры с британскими коллегами, чтобы лишний раз попытаться убедить их против сотрудничества с Huawei."
35,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,"Британское правительство планировало заключить с Huawei контракт на поставку оборудования для сетей 5G, однако после того, как компания оказалась в центре скандала, связанного с обвинениями в техническом шпионаже и сборе секретных данных с помощью своего оборудования, власти Соединенного Королевства решили взять паузу в этом вопросе."
36,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,Сам же вопрос об использовании оборудования Huawei при развертывании 5G в Великобритании будет обсуждаться позднее в январе на заседании британского Совета безопасности под председательством премьер-министра Бориса Джонсона.
37,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,"Тогда окончательное решение принято не было, однако The Daily Telegraph писала, что у Мэй и большинства членов совета не было возражений против того, чтобы предоставить Huawei ограниченный доступ к национальной телекоммуникационной системе, разрешив поставки антенн и других элементов неключевой инфраструктуры 5G."
38,https://tass.ru/mezhdunarodnaya-panorama/7506195,В МI-5 не думают,"Руководитель британской службы контрразведки МI-5 Эндрю Паркер не думает, что участие корпорации Huawei в создании системы мобильной связи пятого поколения (5G) на территории Соединенного Королевства приведет к тому, что Вашингтон перестанет делиться с Лондоном разведывательной информацией."
39,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,/PRNewswire/ -- Компания Huawei недавно предложила решение для актуальных проблем крупнейшего швейцарского стадиона Санкт-Якоб Парк на базе передовой архитектуры облачного управления с использованием самых современных технологий Wi-Fi 6.
40,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,Huawei Wi-Fi 6 также обеспечивает поддержку большого числа пользователей с возможностью одновременного подключения до 400 пользователей к одной точке доступа.
41,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,AP7060DN от Huawei является точкой доступа нового поколения на базе технологии Wi-Fi 6 (802.
42,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"Вместе с этим, роуминг без потерь и быстрое переключение с использованием Huawei Wi-Fi 6 гарантируют максимально эффективное сетевое взаимодействие для всех посетителей стадиона."
43,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"Полноценное беспроводное покрытие для стадиона мирового класса Для решения проблемы, стоящей перед Сант-Якоб Парк, компания Huawei предложила использовать сложную архитектуру облачного управления на базе самых современных технологий Wi-Fi 6."
44,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"com/en/case-studies/leading-new-ict/2019/st-jakob-park-wi-fi6 КОНТАКТНАЯ ИНФОРМАЦИЯ: Ли Цивэй (Qiwei Li), liqiwei2@huawei."
45,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"Для удовлетворения высоких требований проекта, в магазинах, ресторанах и на парковках стадиона были установлены точки доступа Huawei AP7060DN."
46,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"С точки зрения безопасности следует отметить, что брандмауэр Huawei USG6680 оснащен встроенной базой данных сигнатур более 6 000 приложений, а также 7-слойной системой ограничения доступа и способен в проактивном режиме идентифицировать и защитать сеть от всевозможных злонамеренных действий."
47,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"За счет беспроводного подключения к облачной платформе Huawei сетевые устройства получают доступ к широкому спектру инструментов, включая средства управления точками доступа (АР), приложениями и лицензиями, сетевого планирования и оптимизации, мониторинга устройств, конфигурации сетевых сервисов и дополнительным видам обслуживания (ДВО)."
48,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"Обеспечив высокую скорость и превосходную безопасность сети, компания Huawei повысила комфорт посещения стадиона и предоставила его гостям возможность делиться своими любимыми моментами с друзьями и близкими по всему миру в режиме реального времени."
49,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,Умная сеть Wi-Fi - повышенное удобство и комфорт для всех и каждого Технология Huawei Wi-Fi 6 разработана специально для сложной и переменчивой сетевой среды и обладает целым рядом мощных функций.
50,https://tass.ru/press-relizy/7485435,Технология Wi-Fi 6 от Huawei повысит комфорт гостей крупнейшего стадиона Швейцарции09 января 2020,"Обеспечивая сетевую безопасность на территории Сант-Якоб Парк, брандмауэр Huawei USG6680 выполняет широкий спектр функций: ограничения доступа, виртуальной частной сети (VPN), предотвращения вторжений, антивирусной защиты, препятствования утечки данных, управления пропускной способностью, противодействия DDoS-атакам, фильтрования URL и антиспама."
