序号,链接,标题,匹配语料
35,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,"Власти США считают, что Китай посредством оборудования для сетей 5G, поставляемых в том числе и Huawei, занимается шпионажем."
36,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,Федеральная комиссия по связи Соединенных Штатов официально признала китайские телекоммуникационные компании Huawei и ZTE угрозой национальной безопасности.
37,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,В мае 2019 года президент США Дональд Трамп внес Huawei в черный список.
38,https://tass.ru/press-relizy/10337737,"""Спорт и технологии"" расширяют возможности развития спортивной индустрии в Гуанси23 декабря 2020","«Внедрение новых моделей спортивного потребления с использованием цифровых технологий и содействие цифровизации и интеллектуализации спортивной индустрии является одним из важнейших элементов высококачественного развития отрасли», — заявил в своем выступлении на конференции вице-президент клиентской бизнес-группы компании Huawei Ли Чэнжу (Li Changzhu)."
39,https://tass.ru/mezhdunarodnaya-panorama/10330509,FT: односторонние санкции США закрывают компаниям из ЕС доступ на китайский рынок23 декабря 2020,"""До сих пор американским компаниям выдаются лицензии на поставки продукции Huawei, а европейские поставщики этого сделать уже не могут"", - отметил он."
40,https://tass.ru/mezhdunarodnaya-panorama/10330509,FT: односторонние санкции США закрывают компаниям из ЕС доступ на китайский рынок23 декабря 2020,"В черном списке Минторга США оказался целый ряд компаний из Китая, в том числе корпорация Huawei."
41,https://tass.ru/obschestvo/10320517,СтатьяКакие гаджеты до 15 тысяч рублей подарить на Новый год? Советуют техноблогеры22 декабря 2020,Huawei Band 4 Pro.
42,https://tass.ru/ekonomika/10291335,Reuters: Минторг США добавит в черный список китайскую SMIC и ее дочерние компании18 декабря 2020,"В соответствующий список Минторга США уже включены несколько десятков китайских компаний, в частности Huawei, ZTE и их дочерние структуры."
43,https://tass.ru/mezhdunarodnaya-panorama/10276639,Госдеп обеспокоен инвестициями в китайские оборонные компании17 декабря 2020,"В их числе известные AVIC, Aviation Industry Corporation of China) и CASC (China Aerospace Science and Technology Corporation), а также компании, которые работают в основном в коммерческой области: ""Китайская корпорация электроники"" (China Electronics Corporation, CEC), ""Китайская национальная химическая корпорация"" (China National Chemical Corporation, ChemChina), Huawei и ""Китайская телекоммуникационная корпорация"" (China Telecommunications Corporation)."
44,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,Одним из условий участия в аукционах является полное отсутствие продуктов Huawei в разворачиваемых новых системах.
45,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,"Запрет на оборудование Huawei Административный суд Стокгольма принял в ноябре решение временно отменить запрет Управления почты и телекоммуникаций в преддверии первых аукционов частот для сетей 5G о закрытии для Huawei шведского рынка в сфере оборудования для нового поколения мобильной связи после того, как Huawei обжаловала это решение."
46,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,"Апелляционный суд принял решение частично отменить вердикт Административного суда Стокгольма о временном снятии запрета Управления почты и телекоммуникаций (PTS), закрывающего для китайской компании Huawei шведский рынок в сфере оборудования для нового поколения мобильной связи."
47,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,Вместе с тем Административный суд Стокгольма продолжает рассматривать апелляцию Huawei.
48,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,"Интересы, лежащие в основе условий и значения расширения сети 5G, настолько важны, что перевешивают интересы Huawei"", - пояснила ведущая дело адвокат Апелляционного суда Анита Линдер."
49,https://tass.ru/ekonomika/10271439,Шведский суд частично отменил решение о снятии запрета для Huawei по сетям 5G16 декабря 2020,"""Апелляционный суд пришел к выводу, что Huawei имеет право обжаловать решения PTS в той части условий, которые касаются продуктов компании."
50,https://tass.ru/ekonomika/10264187,"""Билайн"" обеспечит интернетом все московское метро в начале 2021 года15 декабря 2020","Сеть в метро построена на оборудовании от Huawei, поддерживающем расширение до стандарта 5G."
51,https://tass.ru/ekonomika/10251247,В хакатоне SberCloud приняли участие 70 команд разработчиков в сфере облачных технологий14 декабря 2020,"В качестве менторов и экспертов на соревновании работали специалисты Huawei, учрежденной Сбербанком школы программирования ""Школа 21"" и акселерационной программы ""Сбер500""."
52,https://tass.ru/ekonomika/10251247,В хакатоне SberCloud приняли участие 70 команд разработчиков в сфере облачных технологий14 декабря 2020,"Компания Huawei - ведущий мировой поставщик инфокоммуникационных инфраструктурных решений, а также умных устройств."
53,https://tass.ru/ekonomika/10251247,В хакатоне SberCloud приняли участие 70 команд разработчиков в сфере облачных технологий14 декабря 2020,"Huawei направляет значительную часть инвестиций на проведение фундаментальных исследований, способствующих мировому прогрессу."
54,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Рынок претерпел значительные изменения, но компания Huawei всегда готова быстро реагировать на них, оказывая IPS всю необходимую поддержку."
55,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Партнерство с Huawei было плодотворным.
56,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Клиенты компании IPS уверены в том, что продукция Huawei может способствовать развитию их бизнеса, что обуславливает ее активные закупки."
57,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Так, компания только что достигла очередного рубежа, завершив монтаж первого центра обработки данных Huawei Fusion Module 2000 в Венгрии."
58,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Ее команда осознала огромный потенциал ИБП Huawei SmartLi, поэтому компания сразу же предложила это новое решение своим партнерам."
59,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Компания IPS, имеющая обширную сеть венгерских партнеров, выступает в качестве моста между Huawei и клиентами, выводя продукцию Huawei на рынок."
60,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Специально выделяемый компанией Huawei менеджер по управлению каналами сбыта обеспечивает критически важную поддержку ее проектов.
61,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"com/en/case-studies/leading-new-ict/2020/ips-and-huawei-ups-solutions КОНТАКТНАЯ ИНФОРМАЦИЯ: Qiwei Li (Цивей Ли), liqiwei2@huawei."
62,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Компания Huawei доказала, что когда IPS нуждается в ее экспертных знаниях и опыте, она готова их предоставить."
63,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Продолжительный опыт компании Huawei в телекоммуникационной отрасли также благоприятно влияет на качество ее предложения в сфере ИБП.
64,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Начиная с 2011 года компания Intelligent Power Solutions (IPS), являющаяся сертифицированным 4-звездочным сервисным партнером Huawei, поставляет клиентам в Венгрии высокоуровневые системы, от источников бесперебойного питания (ИБП) для информационно-технологического (ИТ) оборудования до готовых к эксплуатации центров обработки данных."
65,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Она твердо убеждена в том, что партнерство с Huawei ускорит рост IPS и поможет ей стать одним из ключевых игроков венгерского рынка ИБП."
66,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Для нас это невиданный процесс, который мы начали с помощью Huawei."
67,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Помимо ежегодного посещения выставки HUAWEI CONNECT, специалисты IPS также участвуют во многих технических мероприятиях."
68,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Успех благодаря ИБП Huawei SmartLi Компания Huawei инвестирует более 10% своей выручки в исследования и разработки и оперативно реагирует на изменения рынка и потребности клиентов, постоянно совершенствуя свои модели ИБП."
69,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Во-первых, компания Huawei вкладывает значительные средства в совершенствование своих технологий, занимая одно из первых мест в мире по объемам инвестиций в НИОКР."
70,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Например, предлагаемые компанией Huawei ИБП серии UPS2000-G (мощностью от 6 кВА) могут подключаться к USB-накопителю и SIM-карте для создания SMS-шлюза, что является уникальной возможностью на этом рынке."
71,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"— Итак, что же именно отличает Huawei от других поставщиков?"
72,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Компания IPS гарантирует высокую квалификацию своих ИТ-специалистов и их слаженную работу с коллегами из компании Huawei, что позволяет клиентам пользоваться преимуществами самых передовых технологий и профессионализма."
73,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Лучшее еще впереди Компания IPS оптимистично оценивает перспективы партнерства IPS-Huawei, в основе которого лежит наша общая цель — обеспечение выгод для наших клиентов и одновременное содействие им в решении сложных технических и коммерческих проблем."
74,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Именно в этот момент пришла идея установить партнерские отношения с Huawei.
75,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Они стремятся и готовы непрерывно совершенствовать свой опыт и поэтому признательны Академии информационно-коммуникационных технологий Huawei за партнерство.
76,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Сеем семена партнерства Впервые компания IPS познакомилась с разработками Huawei в области ИБП около семи лет назад.
77,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"За последние пять лет они организовали множество успешных мероприятий с местным представительством Huawei, получая от него постоянную маркетинговую поддержку."
78,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"В результате этого великолепного сотрудничества доходы компании, обусловленные сотрудничеством с Huawei, в последние несколько лет росли на 20-50% в год."
79,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Поиск пути развития На протяжении семи лет сотрудничества с Huawei компания IPS наблюдает за впечатляющим прогрессом в области ИБП и приобрела бесценный опыт в этом процессе.
80,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,Благодаря снижению затрат на сырье и уникальной запатентованной технологии ИБП Huawei SmartLi удовлетворяет всем вышеперечисленным требованиям.
81,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"В прошлом мы выиграли множество проектов, и компания Huawei всегда обеспечивала высочайший уровень обслуживания, мощную техническую поддержку и содействие сбыту"", — сообщил глава компании Intelligent Power Solutions Ltd."
82,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Это отношение изменилось после того, как специалисты IPS посетили практический семинар в Европейском научно-исследовательском центре Huawei в Нюрнберге (Германия) и увидели продукцию компании своими глазами."
83,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Широкий ассортимент продукции Huawei — включающий ИБП, устройства охлаждения, шкафы и стойки, блоки распределения питания (PDU), сетевые адаптеры и управляющее программное обеспечение — удовлетворяет разнообразные потребности клиентов."
84,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"""Компания IPS сотрудничает с Huawei уже более семи лет, и эти взаимоотношения непрерывно укрепляются."
85,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Ее специалисты получили брошюру с описанием ИБП Huawei от одного из своих партнеров и были удивлены обширным, всеобъемлющим и постоянно расширяющимся ассортиментом."
86,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,"Ее сервисное подразделение с радостью накапливает опыт работы на объектах, а ИБП Huawei получают превосходные отзывы."
87,https://tass.ru/press-relizy/10248507,IPS и Huawei: расширение бизнеса за счет центров обработки данных на венгерском рынке14 декабря 2020,До начала своих партнерских отношений с Huawei компания IPS работала с различными фирмами-производителями ИБП.
88,https://tass.ru/mezhdunarodnaya-panorama/10228733,Оттава может ввести санкции против Пекина из-за ареста канадцев в Китае11 декабря 2020,"Канада Китай Трюдо, Джастин Задержание финансового директора Huawei © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г."
89,https://tass.ru/mezhdunarodnaya-panorama/10228733,Оттава может ввести санкции против Пекина из-за ареста канадцев в Китае11 декабря 2020,"В декабре 2018 года между Оттавой и Пекином возникли дипломатические трения, связанные с задержанием в Ванкувере финансового директора китайской компании Huawei Мэн Ваньчжоу, которой грозит депортация в США по обвинениям в мошенничестве."
90,https://tass.ru/mezhdunarodnaya-panorama/10227265,Американский регулятор отказался исключить Huawei из списка угроз нацбезопасности11 декабря 2020,"Последние полтора года Huawei находится под жестким давлением со стороны США, которые ввели в отношении китайской компании санкции."
91,https://tass.ru/mezhdunarodnaya-panorama/10227265,Американский регулятор отказался исключить Huawei из списка угроз нацбезопасности11 декабря 2020,Федеральная комиссия по связи США (FCC) отказалась пересмотреть свое решение о признании китайской компании Huawei угрозой национальной безопасности страны.
92,https://tass.ru/mezhdunarodnaya-panorama/10227265,Американский регулятор отказался исключить Huawei из списка угроз нацбезопасности11 декабря 2020,"Представители американских властей утверждают, что Huawei и ZTE представляют угрозу безопасности страны."
93,https://tass.ru/mezhdunarodnaya-panorama/10227265,Американский регулятор отказался исключить Huawei из списка угроз нацбезопасности11 декабря 2020,Компания Huawei неоднократно опровергала критику в свой адрес.
